Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
12346.0,165,11,372.86,2,5,2,252,Regular
12347.0,3,2,1323.32,5,2,4,524,New Customer
12348.0,74,1,222.16,2,1,1,211,At Risk
12349.0,43,3,2671.14,3,3,5,335,Regular
12351.0,11,1,300.93,5,1,2,512,New Customer
12352.0,11,2,343.8,5,2,2,522,New Customer
12353.0,44,1,317.76,3,1,2,312,Regular
12355.0,203,1,488.21000000000004,1,1,2,112,At Risk
12356.0,16,3,3560.3,4,3,5,435,Regular
12357.0,24,2,12079.99,4,2,5,425,New Customer
12358.0,11,3,2719.01,5,3,5,535,Regular
12359.0,61,6,2563.36,3,4,5,345,Regular
12360.0,15,5,1590.83,5,4,4,544,High Value
12361.0,98,3,321.35,2,3,2,232,Regular
12362.0,374,1,130.0,1,1,1,111,At Risk
12366.0,269,1,500.24,1,1,3,113,At Risk
12368.0,264,1,917.6999999999999,1,1,3,113,At Risk
12369.0,49,3,1791.15,3,3,4,334,Regular
12370.0,260,3,774.62,1,3,3,133,Regular
12371.0,45,3,2179.42,3,3,5,335,Regular
12373.0,260,2,763.0500000000001,1,2,3,123,At Risk
12374.0,57,3,2246.29,3,3,5,335,Regular
12376.0,25,2,503.15,4,2,3,423,New Customer
12377.0,17,2,1798.2,4,2,4,424,New Customer
12378.0,198,1,1407.7,1,1,4,114,At Risk
12379.0,58,2,767.98,3,2,3,323,Regular
12380.0,101,7,6951.49,2,5,5,255,Regular
12385.0,15,1,1938.4,5,1,4,514,New Customer
12386.0,2,1,258.9,5,1,2,512,New Customer
12387.0,51,1,143.94,3,1,1,311,Regular
12388.0,81,2,1120.45,2,2,4,224,At Risk
12389.0,38,3,1433.33,3,3,4,334,Regular
12391.0,100,5,2285.18,2,4,5,245,Regular
12392.0,227,1,234.75000000000003,1,1,1,111,At Risk
12393.0,18,2,816.85,4,2,3,423,New Customer
12395.0,7,4,2048.64,5,4,4,544,High Value
12396.0,310,1,931.43,1,1,3,113,At Risk
12399.0,21,3,853.65,4,3,3,433,Regular
12400.0,50,1,205.25,3,1,1,311,Regular
12402.0,28,5,1031.3,4,4,4,444,High Value
12403.0,157,1,591.6600000000001,2,1,3,213,At Risk
12404.0,318,1,63.24,1,1,1,111,At Risk
12406.0,35,3,2975.06,4,3,5,435,Regular
12408.0,21,3,1452.22,4,3,4,434,Regular
12409.0,56,4,12346.619999999999,3,4,5,345,Regular
12410.0,138,1,320.38,2,1,2,212,At Risk
12411.0,45,1,346.9,3,1,2,312,Regular
12412.0,38,3,1370.05,3,3,4,334,Regular
12413.0,38,1,241.35,3,1,1,311,Regular
12414.0,99,3,390.0,2,3,2,232,Regular
12415.0,11,7,19543.84,5,5,5,555,High Value
12416.0,292,1,202.56,1,1,1,111,At Risk
12417.0,46,11,3148.31,3,5,5,355,Regular
12418.0,49,3,1352.62,3,3,4,334,Regular
12419.0,21,2,503.01,4,2,3,423,New Customer
12421.0,51,2,291.56,3,2,2,322,Regular
12422.0,30,14,4428.24,4,5,5,455,High Value
12423.0,23,2,763.08,4,2,3,423,New Customer
12424.0,58,2,1579.07,3,2,4,324,Regular
12425.0,84,1,964.21,2,1,3,213,At Risk
12426.0,298,1,762.48,1,1,3,113,At Risk
12427.0,7,1,303.5,5,1,2,512,New Customer
12429.0,1,5,3735.51,5,4,5,545,High Value
12431.0,9,13,4370.52,5,5,5,555,High Value
12433.0,2,5,7205.39,5,4,5,545,High Value
12434.0,17,1,297.29,4,1,2,412,New Customer
12435.0,32,4,6096.04,4,4,5,445,High Value
12437.0,31,21,7731.99,4,5,5,455,High Value
12439.0,318,2,1142.88,1,2,4,124,At Risk
12440.0,98,2,859.2,2,2,3,223,At Risk
12441.0,2,1,173.55,5,1,1,511,New Customer
12443.0,368,1,485.31,1,1,2,112,At Risk
12445.0,56,1,301.58000000000004,3,1,2,312,Regular
12449.0,46,2,768.6,3,2,3,323,Regular
12450.0,35,3,490.32,4,3,2,432,Regular
12451.0,99,3,3634.36,2,3,5,235,Regular
12454.0,31,4,13151.44,4,4,5,445,High Value
12455.0,81,4,3413.09,2,4,5,245,Regular
12457.0,71,1,632.68,3,1,3,313,Regular
12458.0,63,2,830.09,3,2,3,323,Regular
12459.0,241,1,454.36,1,1,2,112,At Risk
12460.0,92,1,326.65,2,1,2,212,At Risk
12466.0,318,1,56.73,1,1,1,111,At Risk
12467.0,59,1,132.8,3,1,1,311,Regular
12468.0,162,3,2941.2,2,3,5,235,Regular
12469.0,158,2,3070.54,2,2,5,225,At Risk
12470.0,325,1,211.95,1,1,1,111,At Risk
12471.0,10,49,20129.54,5,5,5,555,High Value
12472.0,5,13,11308.48,5,5,5,555,High Value
12474.0,14,13,5048.66,5,5,5,555,High Value
12475.0,45,1,426.26,3,1,2,312,Regular
12476.0,32,12,7267.49,4,5,5,455,High Value
12477.0,35,3,7056.63,4,3,5,435,Regular
12480.0,35,3,2183.2200000000003,4,3,5,435,Regular
12481.0,1,6,6765.07,5,4,5,545,High Value
12482.0,212,29,23691.4,1,5,5,155,Regular
12483.0,14,11,2612.2000000000003,5,5,5,555,High Value
12484.0,119,6,1826.78,2,4,4,244,Regular
12485.0,165,1,708.1,2,1,3,213,At Risk
12486.0,67,1,1037.28,3,1,4,314,Regular
12487.0,366,1,285.29999999999995,1,1,2,112,At Risk
12490.0,14,11,4405.71,5,5,5,555,High Value
12492.0,39,1,452.0,3,1,2,312,Regular
12494.0,1,3,626.77,5,3,3,533,Regular
12495.0,276,1,357.4,1,1,2,112,At Risk
12496.0,256,2,45.34,1,2,1,121,At Risk
12497.0,36,2,5205.400000000001,4,2,5,425,New Customer
12499.0,196,1,393.72,1,1,2,112,At Risk
12500.0,71,8,1697.39,3,5,4,354,Regular
12503.0,220,1,1126.0,1,1,4,114,At Risk
12504.0,53,2,297.0,3,2,2,322,Regular
12505.0,44,1,955.2,3,1,3,313,Regular
12507.0,220,1,539.25,1,1,3,113,At Risk
12510.0,95,7,4195.45,2,5,5,255,Regular
12511.0,64,1,3084.02,3,1,5,315,Regular
12514.0,277,1,580.08,1,1,3,113,At Risk
12516.0,66,2,1336.56,3,2,4,324,Regular
12519.0,112,1,385.7,2,1,2,212,At Risk
12523.0,10,12,2562.58,5,5,5,555,High Value
12524.0,24,9,6640.39,4,5,5,455,High Value
12525.0,134,3,973.73,2,3,3,233,Regular
12527.0,130,2,386.8,2,2,2,222,At Risk
12529.0,164,1,316.48,2,1,2,212,At Risk
12530.0,51,5,2096.98,3,4,4,344,Regular
12531.0,322,1,1807.98,1,1,4,114,At Risk
12533.0,263,2,1367.89,1,2,4,124,At Risk
12537.0,44,1,732.94,3,1,3,313,Regular
12538.0,14,1,276.5,5,1,2,512,New Customer
12539.0,86,3,5646.400000000001,2,3,5,235,Regular
12540.0,14,16,8854.25,5,5,5,555,High Value
12542.0,120,2,481.88,2,2,2,222,At Risk
12543.0,84,1,980.25,2,1,3,213,At Risk
12547.0,136,1,175.78,2,1,1,211,At Risk
12549.0,211,6,1575.68,1,4,4,144,Regular
12553.0,21,2,916.47,4,2,3,423,New Customer
12554.0,84,1,468.5,2,1,2,212,At Risk
12555.0,318,1,129.23,1,1,1,111,At Risk
12557.0,7,4,6725.18,5,4,5,545,High Value
12562.0,21,2,1185.18,4,2,4,424,New Customer
12563.0,44,1,249.24,3,1,1,311,Regular
12567.0,3,7,4308.58,5,5,5,555,High Value
12568.0,280,1,70.0,1,1,1,111,At Risk
12570.0,318,1,77.52,1,1,1,111,At Risk
12573.0,17,4,556.87,4,4,3,443,Regular
12575.0,93,2,622.8199999999999,2,2,3,223,At Risk
12576.0,28,3,826.89,4,3,3,433,Regular
12577.0,17,5,990.5,4,4,4,444,High Value
12578.0,21,2,1847.94,4,2,4,424,New Customer
12580.0,212,1,637.2,1,1,3,113,At Risk
12582.0,58,2,1469.04,3,2,4,324,Regular
12583.0,9,13,7166.0599999999995,5,5,5,555,High Value
12586.0,10,3,1865.73,5,3,4,534,Regular
12588.0,35,3,743.88,4,3,3,433,Regular
12589.0,57,6,4048.98,3,4,5,345,Regular
12591.0,26,2,886.1,4,2,3,423,New Customer
12592.0,155,3,2145.06,2,3,5,235,Regular
12594.0,14,5,1751.89,5,4,4,544,High Value
12595.0,140,1,299.02,2,1,2,212,At Risk
12598.0,99,3,1511.01,2,3,4,234,Regular
12599.0,17,6,1264.14,4,4,4,444,High Value
12600.0,7,12,2444.88,5,5,5,555,High Value
12601.0,40,1,104.19999999999999,3,1,1,311,Regular
12605.0,12,4,1232.95,5,4,4,544,High Value
12606.0,318,1,21.0,1,1,1,111,At Risk
12608.0,40,1,415.79,3,1,2,312,Regular
12609.0,10,6,2309.01,5,4,5,545,High Value
12613.0,24,5,3472.9900000000002,4,4,5,445,High Value
12615.0,49,4,3449.79,3,4,5,345,Regular
12616.0,24,1,417.8,4,1,2,412,New Customer
12619.0,196,1,140.14,1,1,1,111,At Risk
12621.0,1,16,11086.14,5,5,5,555,High Value
12623.0,52,6,3442.7400000000002,3,4,5,345,Regular
12625.0,145,2,2481.06,2,2,5,225,At Risk
12629.0,21,2,1558.22,4,2,4,424,New Customer
12631.0,92,5,2841.07,2,4,5,245,Regular
12632.0,156,2,804.88,2,2,3,223,At Risk
12633.0,18,3,3514.18,4,3,5,435,Regular
12634.0,171,2,490.0,2,2,2,222,At Risk
12635.0,28,2,1241.23,4,2,4,424,New Customer
12636.0,374,1,141.0,1,1,1,111,At Risk
12637.0,14,4,2280.91,5,4,5,545,High Value
12638.0,275,1,249.8,1,1,1,111,At Risk
12639.0,70,2,826.27,3,2,3,323,Regular
12643.0,21,6,4960.18,4,4,5,445,High Value
12644.0,66,3,1440.58,3,3,4,334,Regular
12645.0,45,4,1764.12,3,4,4,344,Regular
12647.0,3,27,14201.53,5,5,5,555,High Value
12648.0,73,3,793.95,2,3,3,233,Regular
12649.0,18,5,1671.1399999999999,4,4,4,444,High Value
12651.0,14,3,263.75,5,3,2,532,Regular
